GCF_005221805.1	Esch_coli_120
GCF_002741575.1	Esch_coli_M9682-C1
GCF_001901125.1	Esch_coli_M10
GCF_002953815.1	Esch_coli_4FA
GCF_002787935.1	Esch_coli_CREC-591
GCF_900149875.1	Esch_coli_EPEC1
GCF_000813165.1	Esch_coli_APEC_IMT5155
GCF_002214745.2	Esch_coli_FORC_043
GCF_001566335.1	Esch_coli_JW5437-1_substr_MG1655
GCF_004135815.1	Esch_coli_CRE10
GCF_002587005.1	Esch_coli_IMT16316
GCF_001890325.1	Esch_coli_319
GCF_001007915.1	Esch_coli_CFSAN029787
GCF_001888075.1	Esch_coli_FMU073332
GCF_001753505.1	Esch_coli_2159
GCF_004006575.1	Esch_coli_ECCNB20-2
GCF_001900695.1	Esch_coli_D6
GCF_002220265.1	Esch_coli_FORC_044
GCF_003019075.1	Esch_coli_90-3040
GCF_000968515.1	Esch_coli_VR50
GCF_003546975.1	Esch_coli_Nissle_1917
GCF_000714595.1	Esch_coli_Nissle_1917
GCF_001610755.1	Esch_coli_Sanji
GCF_005222445.1	Esch_coli_107
GCF_001900455.1	Esch_coli_H7
GCF_003043915.1	Esch_coli_RM14723
GCF_000974535.1	Esch_coli_ER3445
GCF_003203755.1	Esch_coli_SD134209
GCF_002787545.1	Esch_coli_CREC-629
GCF_900622665.1	Esch_coli_MS14386
GCF_003402955.1	Esch_coli_cq9
GCF_003586065.1	Esch_coli_RM9872
GCF_000819645.1	Esch_coli_GCF_000819645_1
GCF_000974865.1	Esch_coli_ER3475
GCF_001753545.1	Esch_coli_3384
GCF_002056065.1	Esch_coli_AR_0061
GCF_000988385.1	Esch_coli_SQ88
GCF_002163695.1	Esch_coli_KSC64
GCF_002952855.1	Esch_coli_7FA
GCF_004526255.1	Esch_coli_2_HS-C
GCF_001900675.1	Esch_coli_D5
GCF_005221925.1	Esch_coli_140
GCF_003966465.1	Esch_coli_E2865
GCF_001900355.1	Esch_coli_C11
GCF_002163935.1	Esch_coli_KSC1031
GCF_003956345.1	Esch_coli_720632
GCF_002269325.1	Esch_coli_2011EL-1370-2
GCF_003017995.1	Esch_coli_2014C-3307
GCF_002180275.1	Esch_coli_AR_0128
GCF_005222065.1	Esch_coli_118
GCF_000026345.1	Esch_coli_IAI39
GCF_000285655.3	Esch_coli_EC958
GCF_004759025.1	Esch_coli_28Eco12
GCF_001420935.1	Esch_coli_2012C-4227
GCF_900635165.1	Esch_coli_NCTC11151
GCF_003112225.1	Esch_coli_RM10386
GCF_002953055.1	Esch_coli_5A
GCF_002164865.2	Esch_coli_WCHEC020032
GCF_000829985.1	Esch_coli_1303
GCF_003017805.1	Esch_coli_2013C-4830
GCF_003956485.1	Esch_coli_120899
GCF_003667425.1	Esch_coli_W5-6
GCF_900497455.1	Esch_coli_EC-7215
GCF_900635195.1	Esch_coli_NCTC9085
GCF_002934895.1	Esch_coli_ECONIH4
GCF_000974505.1	Esch_coli_ER3476
GCF_005954625.1	Esch_coli_EK2009
GCF_005037805.1	Esch_coli_FWSEC0005
GCF_002859105.1	Esch_coli_BH100_substr_MG2017
GCF_900635215.1	Esch_coli_NCTC9038
